teta  eps_rr  eps_tt  eps_rt  
98.319558    0.07733746  -0.04366913  0.09611713
98.422690    0.07725216  -0.04377141  0.09548132
98.525822    0.07716649  -0.04387180  0.09484915
98.628955    0.07708046  -0.04397030  0.09422058
98.732087    0.07699405  -0.04406695  0.09359560
98.835220    0.07690728  -0.04416176  0.09297417
98.938352    0.07682014  -0.04425474  0.09235628
99.041484    0.07673264  -0.04434591  0.09174190
99.144617    0.07664477  -0.04443528  0.09113100
99.247749    0.07655654  -0.04452287  0.09052356
99.350882    0.07646794  -0.04460870  0.08991955
99.454014    0.07637899  -0.04469279  0.08931895
99.557146    0.07628967  -0.04477514  0.08872174
99.660279    0.07619999  -0.04485577  0.08812789
99.763411    0.07610995  -0.04493470  0.08753737
99.866544    0.07601956  -0.04501194  0.08695017
99.969676    0.07592880  -0.04508751  0.08636627
100.072808    0.07583770  -0.04516142  0.08578562
100.175941    0.07574623  -0.04523368  0.08520823
100.279073    0.07565441  -0.04530432  0.08463406
100.382206    0.07556224  -0.04537334  0.08406308
100.485338    0.07546971  -0.04544076  0.08349528
100.588471    0.07537684  -0.04550659  0.08293064
100.691603    0.07528361  -0.04557084  0.08236913
100.794735    0.07519003  -0.04563353  0.08181073
100.897868    0.07509611  -0.04569468  0.08125542
101.001000    0.07500183  -0.04575429  0.08070317
101.104133    0.07490721  -0.04581238  0.08015397
101.207265    0.07481224  -0.04586896  0.07960779
101.310397    0.07471692  -0.04592404  0.07906462
101.413530    0.07462127  -0.04597764  0.07852443
101.516662    0.07452526  -0.04602977  0.07798720
101.619795    0.07442892  -0.04608044  0.07745291
101.722927    0.07433223  -0.04612967  0.07692154
101.826059    0.07423520  -0.04617746  0.07639307
101.929192    0.07413783  -0.04622383  0.07586748
102.032324    0.07404012  -0.04626878  0.07534475
102.135457    0.07394208  -0.04631234  0.07482486
102.238589    0.07384369  -0.04635451  0.07430779
102.341721    0.07374497  -0.04639531  0.07379352
102.444854    0.07364591  -0.04643474  0.07328203
102.547986    0.07354652  -0.04647281  0.07277331
102.651119    0.07344679  -0.04650955  0.07226733
102.754251    0.07334673  -0.04654495  0.07176407
102.857383    0.07324634  -0.04657903  0.07126352
102.960516    0.07314561  -0.04661181  0.07076566
103.063648    0.07304456  -0.04664328  0.07027047
103.166781    0.07294317  -0.04667347  0.06977793
103.269913    0.07284146  -0.04670238  0.06928802
103.373045    0.07273941  -0.04673002  0.06880073
103.476178    0.07263704  -0.04675640  0.06831604
103.579310    0.07253435  -0.04678154  0.06783392
103.682443    0.07243132  -0.04680543  0.06735437
103.785575    0.07232797  -0.04682811  0.06687737
103.888707    0.07222430  -0.04684956  0.06640289
103.991840    0.07212030  -0.04686980  0.06593093
104.094972    0.07201598  -0.04688885  0.06546146
104.198105    0.07191134  -0.04690671  0.06499447
