(sec),(mm),(kgf)
67,4.46678,3.73468
67.10001,4.47326,3.73535
67.20001,4.47996,3.76439
67.3,4.48682,3.75225
67.4,4.49335,3.74069
67.5,4.5,3.74356
67.60001,4.50675,3.73063
67.70001,4.51339,3.74957
67.8,4.51998,3.74544
67.9,4.52662,3.76474
68,4.53326,3.75939
68.10001,4.54002,3.73633
68.20001,4.54666,3.77016
68.3,4.55325,3.78828
68.4,4.56,3.7562
68.5,4.56664,3.77269
68.60001,4.57328,3.75366
68.70001,4.58003,3.77172
68.8,4.58662,3.76495
68.9,4.59326,3.78245
69,4.60012,3.78842
69.10001,4.6066,3.79371
69.20001,4.61325,3.76579
69.3,4.62021,3.79131
69.4,4.62664,3.80836
69.5,4.63323,3.80623
69.60001,4.64003,3.79421
69.70001,4.64668,3.80552
69.8,4.65326,3.81373
69.9,4.66007,3.82011
70,4.66666,3.80237
70.10001,4.67335,3.80189
70.20001,4.68005,3.80389
70.3,4.68664,3.80799
70.4,4.69328,3.80707
70.5,4.69998,3.82449
70.60001,4.70668,3.80817
70.70001,4.71337,3.82047
70.8,4.71996,3.81789
70.9,4.72666,3.82554
71,4.73341,3.82345
71.10001,4.73994,3.83317
71.20001,4.74659,3.82636
71.3,4.75344,3.82731
71.4,4.75998,3.84339
71.5,4.76657,3.83472
71.60001,4.77343,3.83793
71.70001,4.78002,3.84646
71.8,4.7866,3.84038
71.9,4.79346,3.86968
72,4.8,3.84748
72.10001,4.80664,3.84022
72.20001,4.81344,3.87845
72.3,4.82003,3.86809
72.4,4.82657,3.87128
72.5,4.83343,3.871
72.60001,4.84001,3.86932
72.70001,4.8466,3.87716
72.8,4.8533,3.88796
72.9,4.86,3.87599
73,4.86669,3.88784
73.10001,4.87334,3.85939
73.20001,4.87998,3.89103
73.3,4.88678,3.89282
73.4,4.89332,3.88812
73.5,4.89991,3.88519
73.60001,4.90671,3.88395
73.70001,4.9133,3.88661
73.8,4.91994,3.89026
73.9,4.9268,3.88716
74,4.93328,3.90583
74.10001,4.93998,3.90128
74.20001,4.94678,3.91092
74.3,4.95332,3.92105
74.4,4.95985,3.91851
74.5,4.96671,3.91829
74.60001,4.97335,3.91589
74.70001,4.98,3.91866
74.8,4.98675,3.91609
74.9,4.99339,3.90993
75,4.99998,3.9335
75.10001,5.00667,3.92652
75.20001,5.01326,3.93563
75.3,5.02001,3.92626
75.4,5.02671,3.93383
75.5,5.03335,3.93937
75.60001,5.04,3.94198
75.70001,5.04669,3.94835
75.8,5.05328,3.9661
75.9,5.06003,3.93829
76,5.06662,3.93718
76.10001,5.07326,3.94855
76.20001,5.08012,3.95328
76.3,5.08666,3.94569
76.4,5.09325,3.95183
